Uur,Levering [kWh],Teruglevering [kWh]
14-10-2024 06:30 tot 06:45,1.58184,0.0
14-10-2024 06:45 tot 07:00,1.39932,0.0
14-10-2024 07:00 tot 07:15,1.70352,0.0
14-10-2024 07:15 tot 07:30,1.18638,0.0
14-10-2024 07:30 tot 07:45,1.24722,0.0
14-10-2024 07:45 tot 08:00,1.33848,0.0
14-10-2024 08:00 tot 08:15,1.27764,0.0
14-10-2024 08:15 tot 08:30,1.46016,0.0
14-10-2024 08:30 tot 08:45,13.62816,0.0
14-10-2024 08:45 tot 09:00,11.22498,0.0
14-10-2024 09:00 tot 09:15,16.03134,0.0
14-10-2024 09:15 tot 09:30,21.32442,0.0
14-10-2024 09:30 tot 09:45,5.20182,0.0
14-10-2024 09:45 tot 10:00,2.19024,0.0
14-10-2024 10:00 tot 10:15,0.48672,0.0887573964497041
14-10-2024 10:15 tot 10:30,34.5267,0.0
14-10-2024 10:30 tot 10:45,26.25246,0.0
14-10-2024 10:45 tot 11:00,19.28628,0.029585798816568
14-10-2024 11:00 tot 11:15,0.3042,0.236686390532544
14-10-2024 11:15 tot 11:30,0.88218,0.0
14-10-2024 11:30 tot 11:45,0.24336,0.0591715976331361
14-10-2024 11:45 tot 12:00,10.70784,0.14792899408284
14-10-2024 12:00 tot 12:15,35.10468,0.0
14-10-2024 12:15 tot 12:30,20.77686,0.0
14-10-2024 12:30 tot 12:45,0.48672,0.029585798816568
14-10-2024 12:45 tot 13:00,0.85176,0.0
14-10-2024 13:00 tot 13:15,11.1033,0.0
14-10-2024 13:15 tot 13:30,14.1453,0.029585798816568
14-10-2024 13:30 tot 13:45,0.39546,0.0591715976331361
14-10-2024 13:45 tot 14:00,0.36504,0.0591715976331361
14-10-2024 14:00 tot 14:15,0.12168,0.14792899408284
14-10-2024 14:15 tot 14:30,0.0,0.325443786982249
14-10-2024 14:30 tot 14:45,0.0,0.355029585798817
14-10-2024 14:45 tot 15:00,17.67402,0.029585798816568
14-10-2024 15:00 tot 15:15,0.06084,0.355029585798817
14-10-2024 15:15 tot 15:30,0.03042,1.83431952662722
14-10-2024 15:30 tot 15:45,0.0,1.83431952662722
14-10-2024 15:45 tot 16:00,0.0,1.53846153846154
14-10-2024 16:00 tot 16:15,0.79092,0.266272189349112
14-10-2024 16:15 tot 16:30,0.21294,0.384615384615385
14-10-2024 16:30 tot 16:45,0.94302,0.0887573964497041
14-10-2024 16:45 tot 17:00,16.45722,0.0
14-10-2024 17:00 tot 17:15,29.23362,0.0
14-10-2024 17:15 tot 17:30,11.43792,0.0
14-10-2024 17:30 tot 17:45,1.6731,0.0
14-10-2024 17:45 tot 18:00,0.48672,0.0
14-10-2024 18:00 tot 18:15,0.94302,0.0
14-10-2024 18:15 tot 18:30,1.58184,0.0
14-10-2024 18:30 tot 18:45,2.06856,0.0
14-10-2024 18:45 tot 19:00,3.9546,0.0
14-10-2024 19:00 tot 19:15,2.8899,0.0
14-10-2024 19:15 tot 19:30,1.30806,0.0
14-10-2024 19:30 tot 19:45,1.33848,0.0
14-10-2024 19:45 tot 20:00,1.6731,0.0
14-10-2024 20:00 tot 20:15,1.33848,0.0
14-10-2024 20:15 tot 20:30,1.76436,0.0
14-10-2024 20:30 tot 20:45,1.30806,0.0
14-10-2024 20:45 tot 21:00,1.49058,0.0
14-10-2024 21:00 tot 21:15,1.33848,0.0
14-10-2024 21:15 tot 21:30,1.3689,0.0
14-10-2024 21:30 tot 21:45,1.18638,0.0
14-10-2024 21:45 tot 22:00,12.0159,0.0
14-10-2024 22:00 tot 22:15,32.91444,0.0
14-10-2024 22:15 tot 22:30,12.86766,0.0
14-10-2024 22:30 tot 22:45,1.00386,0.0
14-10-2024 22:45 tot 23:00,1.0647,0.0
14-10-2024 23:00 tot 23:15,1.3689,0.0
14-10-2024 23:15 tot 23:30,1.24722,0.0
14-10-2024 23:30 tot 23:45,1.33848,0.0
14-10-2024 23:45 tot 00:00,1.49058,0.0
15-10-2024 00:00 tot 00:15,1.03428,0.0
15-10-2024 00:15 tot 00:30,1.15596,0.0
15-10-2024 00:30 tot 00:45,1.09512,0.0
15-10-2024 00:45 tot 01:00,1.30806,0.0
15-10-2024 01:00 tot 01:15,1.09512,0.0
15-10-2024 01:15 tot 01:30,1.18638,0.0
15-10-2024 01:30 tot 01:45,1.27764,0.0
15-10-2024 01:45 tot 02:00,1.18638,0.0
15-10-2024 02:00 tot 02:15,1.03428,0.0
15-10-2024 02:15 tot 02:30,1.09512,0.0
15-10-2024 02:30 tot 02:45,1.03428,0.0
15-10-2024 02:45 tot 03:00,1.03428,0.0
15-10-2024 03:00 tot 03:15,1.12554,0.0
15-10-2024 03:15 tot 03:30,1.03428,0.0
15-10-2024 03:30 tot 03:45,1.09512,0.0
15-10-2024 03:45 tot 04:00,1.09512,0.0
15-10-2024 04:00 tot 04:15,1.12554,0.0
15-10-2024 04:15 tot 04:30,1.12554,0.0
15-10-2024 04:30 tot 04:45,1.3689,0.0
15-10-2024 04:45 tot 05:00,1.42974,0.0
15-10-2024 05:00 tot 05:15,1.24722,0.0
15-10-2024 05:15 tot 05:30,1.30806,0.0
15-10-2024 05:30 tot 05:45,1.15596,0.0
15-10-2024 05:45 tot 06:00,1.2168,0.0
15-10-2024 06:00 tot 06:15,1.18638,0.0
15-10-2024 06:15 tot 06:30,1.46016,0.0
15-10-2024 06:30 tot 06:45,1.24722,0.0
15-10-2024 06:45 tot 07:00,7.17912,0.0
15-10-2024 07:00 tot 07:15,3.10284,0.0
15-10-2024 07:15 tot 07:30,1.49058,0.0
15-10-2024 07:30 tot 07:45,15.17958,0.0
15-10-2024 07:45 tot 08:00,14.6016,0.0
15-10-2024 08:00 tot 08:15,6.2361,0.0
15-10-2024 08:15 tot 08:30,5.74938,0.0
15-10-2024 08:30 tot 08:45,3.92418,0.0
15-10-2024 08:45 tot 09:00,2.95074,0.0
15-10-2024 09:00 tot 09:15,0.48672,0.0
15-10-2024 09:15 tot 09:30,0.12168,0.118343195266272
15-10-2024 09:30 tot 09:45,0.03042,0.29585798816568
15-10-2024 09:45 tot 10:00,21.9024,0.0591715976331361
15-10-2024 10:00 tot 10:15,18.13032,0.0
15-10-2024 10:15 tot 10:30,25.15734,0.0
15-10-2024 10:30 tot 10:45,34.43544,0.0
15-10-2024 10:45 tot 11:00,12.71556,0.207100591715976
15-10-2024 11:00 tot 11:15,0.0,1.15384615384615
15-10-2024 11:15 tot 11:30,7.78752,0.857988165680473
15-10-2024 11:30 tot 11:45,24.00138,0.0
15-10-2024 11:45 tot 12:00,9.36936,0.473372781065089
15-10-2024 12:00 tot 12:15,2.76822,1.24260355029586
15-10-2024 12:15 tot 12:30,21.71988,0.0
15-10-2024 12:30 tot 12:45,21.38526,0.0
15-10-2024 12:45 tot 13:00,16.24428,0.0
15-10-2024 13:00 tot 13:15,13.78026,0.0
15-10-2024 13:15 tot 13:30,23.4234,0.0
15-10-2024 13:30 tot 13:45,9.2781,0.118343195266272
15-10-2024 13:45 tot 14:00,5.4756,0.266272189349112
15-10-2024 14:00 tot 14:15,4.62384,0.0
15-10-2024 14:15 tot 14:30,28.99026,0.0
15-10-2024 14:30 tot 14:45,17.00478,0.0
15-10-2024 14:45 tot 15:00,17.1873,0.0
15-10-2024 15:00 tot 15:15,39.02886,0.0
15-10-2024 15:15 tot 15:30,30.96756,0.0
15-10-2024 15:30 tot 15:45,34.00956,0.0
15-10-2024 15:45 tot 16:00,43.83522,0.0
15-10-2024 16:00 tot 16:15,10.98162,0.0
15-10-2024 16:15 tot 16:30,0.42588,0.14792899408284
15-10-2024 16:30 tot 16:45,0.3042,0.14792899408284
15-10-2024 16:45 tot 17:00,0.3042,0.118343195266272
15-10-2024 17:00 tot 17:15,0.1521,0.118343195266272
15-10-2024 17:15 tot 17:30,8.2134,0.0
15-10-2024 17:30 tot 17:45,8.33508,0.0
15-10-2024 17:45 tot 18:00,47.3031,0.0
15-10-2024 18:00 tot 18:15,30.90672,0.0
15-10-2024 18:15 tot 18:30,0.85176,0.0
15-10-2024 18:30 tot 18:45,1.2168,0.0
15-10-2024 18:45 tot 19:00,1.64268,0.0
15-10-2024 19:00 tot 19:15,1.91646,0.0
15-10-2024 19:15 tot 19:30,6.96618,0.0
15-10-2024 19:30 tot 19:45,11.92464,0.0
15-10-2024 19:45 tot 20:00,12.13758,0.0
15-10-2024 20:00 tot 20:15,16.03134,0.0
15-10-2024 20:15 tot 20:30,5.56686,0.0
15-10-2024 20:30 tot 20:45,1.3689,0.0
15-10-2024 20:45 tot 21:00,1.85562,0.0
15-10-2024 21:00 tot 21:15,1.58184,0.0
15-10-2024 21:15 tot 21:30,1.73394,0.0
15-10-2024 21:30 tot 21:45,1.58184,0.0
15-10-2024 21:45 tot 22:00,1.521,0.0
15-10-2024 22:00 tot 22:15,1.46016,0.0
15-10-2024 22:15 tot 22:30,1.12554,0.0
15-10-2024 22:30 tot 22:45,1.42974,0.0
15-10-2024 22:45 tot 23:00,1.09512,0.0
15-10-2024 23:00 tot 23:15,1.33848,0.0
15-10-2024 23:15 tot 23:30,1.15596,0.0
15-10-2024 23:30 tot 23:45,1.24722,0.0
15-10-2024 23:45 tot 00:00,1.27764,0.0
16-10-2024 00:00 tot 00:15,1.15596,0.0
16-10-2024 00:15 tot 00:30,1.03428,0.0
16-10-2024 00:30 tot 00:45,1.09512,0.0
16-10-2024 00:45 tot 01:00,1.09512,0.0
16-10-2024 01:00 tot 01:15,1.09512,0.0
16-10-2024 01:15 tot 01:30,1.03428,0.0
16-10-2024 01:30 tot 01:45,1.24722,0.0
16-10-2024 01:45 tot 02:00,0.97344,0.0
16-10-2024 02:00 tot 02:15,1.18638,0.0
16-10-2024 02:15 tot 02:30,0.97344,0.0
16-10-2024 02:30 tot 02:45,1.03428,0.0
16-10-2024 02:45 tot 03:00,1.12554,0.0
16-10-2024 03:00 tot 03:15,1.2168,0.0
16-10-2024 03:15 tot 03:30,1.3689,0.0
16-10-2024 03:30 tot 03:45,1.12554,0.0
16-10-2024 03:45 tot 04:00,0.94302,0.0
16-10-2024 04:00 tot 04:15,1.0647,0.0
16-10-2024 04:15 tot 04:30,1.2168,0.0
16-10-2024 04:30 tot 04:45,1.18638,0.0
16-10-2024 04:45 tot 05:00,1.12554,0.0
16-10-2024 05:00 tot 05:15,1.18638,0.0
16-10-2024 05:15 tot 05:30,1.0647,0.0
16-10-2024 05:30 tot 05:45,1.0647,0.0
16-10-2024 05:45 tot 06:00,1.27764,0.0
16-10-2024 06:00 tot 06:15,1.3689,0.0
16-10-2024 06:15 tot 06:30,1.18638,0.0
16-10-2024 06:30 tot 06:45,1.33848,0.0
16-10-2024 06:45 tot 07:00,9.70398,0.0
16-10-2024 07:00 tot 07:15,10.0386,0.0
16-10-2024 07:15 tot 07:30,4.44132,0.0
16-10-2024 07:30 tot 07:45,1.42974,0.0
16-10-2024 07:45 tot 08:00,1.27764,0.0
16-10-2024 08:00 tot 08:15,1.33848,0.0
16-10-2024 08:15 tot 08:30,1.33848,0.0
16-10-2024 08:30 tot 08:45,0.88218,0.0
16-10-2024 08:45 tot 09:00,0.51714,0.0
16-10-2024 09:00 tot 09:15,22.60206,0.0
16-10-2024 09:15 tot 09:30,38.87676,0.0
16-10-2024 09:30 tot 09:45,22.0545,0.0
16-10-2024 09:45 tot 10:00,18.16074,0.0
16-10-2024 10:00 tot 10:15,12.89808,0.0
16-10-2024 10:15 tot 10:30,7.81794,0.0
16-10-2024 10:30 tot 10:45,7.08786,0.0
16-10-2024 10:45 tot 11:00,30.2679,0.0
16-10-2024 11:00 tot 11:15,18.67788,0.0
16-10-2024 11:15 tot 11:30,4.22838,0.828402366863905
16-10-2024 11:30 tot 11:45,1.76436,1.62721893491124
16-10-2024 11:45 tot 12:00,13.59774,0.0
16-10-2024 12:00 tot 12:15,14.26698,0.0
16-10-2024 12:15 tot 12:30,11.1033,0.0
16-10-2024 12:30 tot 12:45,5.59728,0.0
16-10-2024 12:45 tot 13:00,0.21294,1.65680473372781
16-10-2024 13:00 tot 13:15,0.06084,0.710059171597633
16-10-2024 13:15 tot 13:30,13.01976,0.325443786982249
16-10-2024 13:30 tot 13:45,14.38866,0.0
16-10-2024 13:45 tot 14:00,7.23996,0.591715976331361
16-10-2024 14:00 tot 14:15,10.37322,0.0
16-10-2024 14:15 tot 14:30,12.7764,0.0
16-10-2024 14:30 tot 14:45,10.70784,0.0
16-10-2024 14:45 tot 15:00,18.46494,0.0
16-10-2024 15:00 tot 15:15,18.76914,0.0
16-10-2024 15:15 tot 15:30,9.70398,0.029585798816568
16-10-2024 15:30 tot 15:45,0.03042,0.443786982248521
16-10-2024 15:45 tot 16:00,0.06084,0.29585798816568
16-10-2024 16:00 tot 16:15,23.7276,0.0591715976331361
16-10-2024 16:15 tot 16:30,22.29786,0.0
16-10-2024 16:30 tot 16:45,1.46016,0.0591715976331361
16-10-2024 16:45 tot 17:00,0.73008,0.0
16-10-2024 17:00 tot 17:15,0.97344,0.0
16-10-2024 17:15 tot 17:30,3.22452,0.0
16-10-2024 17:30 tot 17:45,3.25494,0.0
16-10-2024 17:45 tot 18:00,2.64654,0.0
16-10-2024 18:00 tot 18:15,1.33848,0.0
16-10-2024 18:15 tot 18:30,1.30806,0.0
16-10-2024 18:30 tot 18:45,2.4336,0.0
16-10-2024 18:45 tot 19:00,32.91444,0.0
16-10-2024 19:00 tot 19:15,33.7662,0.0
16-10-2024 19:15 tot 19:30,16.24428,0.0
16-10-2024 19:30 tot 19:45,3.89376,0.0
16-10-2024 19:45 tot 20:00,2.15982,0.0
16-10-2024 20:00 tot 20:15,1.49058,0.0
16-10-2024 20:15 tot 20:30,1.3689,0.0
16-10-2024 20:30 tot 20:45,2.09898,0.0
16-10-2024 20:45 tot 21:00,1.49058,0.0
16-10-2024 21:00 tot 21:15,1.55142,0.0
16-10-2024 21:15 tot 21:30,1.3689,0.0
16-10-2024 21:30 tot 21:45,1.15596,0.0
16-10-2024 21:45 tot 22:00,1.3689,0.0
16-10-2024 22:00 tot 22:15,1.42974,0.0
16-10-2024 22:15 tot 22:30,3.3462,0.0
16-10-2024 22:30 tot 22:45,8.91306,0.0
16-10-2024 22:45 tot 23:00,2.06856,0.0
16-10-2024 23:00 tot 23:15,2.4336,0.0
16-10-2024 23:15 tot 23:30,1.33848,0.0
16-10-2024 23:30 tot 23:45,13.26312,0.0
16-10-2024 23:45 tot 00:00,19.52964,0.0
17-10-2024 00:00 tot 00:15,33.82704,0.0
17-10-2024 00:15 tot 00:30,20.13804,0.0
17-10-2024 00:30 tot 00:45,6.9966,0.0
17-10-2024 00:45 tot 01:00,12.35052,0.0
17-10-2024 01:00 tot 01:15,1.12554,0.0
17-10-2024 01:15 tot 01:30,1.00386,0.0
17-10-2024 01:30 tot 01:45,1.03428,0.0
17-10-2024 01:45 tot 02:00,0.9126,0.0
17-10-2024 02:00 tot 02:15,1.03428,0.0
17-10-2024 02:15 tot 02:30,0.88218,0.0
17-10-2024 02:30 tot 02:45,1.55142,0.0
17-10-2024 02:45 tot 03:00,1.03428,0.0
17-10-2024 03:00 tot 03:15,14.20614,0.0
17-10-2024 03:15 tot 03:30,1.03428,0.0
17-10-2024 03:30 tot 03:45,0.94302,0.0
17-10-2024 03:45 tot 04:00,0.9126,0.0
17-10-2024 04:00 tot 04:15,0.97344,0.0
17-10-2024 04:15 tot 04:30,0.97344,0.0
17-10-2024 04:30 tot 04:45,0.97344,0.0
17-10-2024 04:45 tot 05:00,1.12554,0.0
17-10-2024 05:00 tot 05:15,1.42974,0.0
17-10-2024 05:15 tot 05:30,1.24722,0.0
17-10-2024 05:30 tot 05:45,1.33848,0.0
17-10-2024 05:45 tot 06:00,1.00386,0.0
17-10-2024 06:00 tot 06:15,1.12554,0.0
17-10-2024 06:15 tot 06:30,23.21046,0.0
17-10-2024 06:30 tot 06:45,1.2168,0.0
17-10-2024 06:45 tot 07:00,1.33848,0.0
17-10-2024 07:00 tot 07:15,1.33848,0.0
17-10-2024 07:15 tot 07:30,1.3689,0.0
17-10-2024 07:30 tot 07:45,1.18638,0.0
17-10-2024 07:45 tot 08:00,1.00386,0.0
17-10-2024 08:00 tot 08:15,15.9705,0.0
17-10-2024 08:15 tot 08:30,5.04972,0.0
17-10-2024 08:30 tot 08:45,19.13418,0.0
17-10-2024 08:45 tot 09:00,7.02702,0.0
17-10-2024 09:00 tot 09:15,29.84202,0.0
17-10-2024 09:15 tot 09:30,17.61318,0.0
17-10-2024 09:30 tot 09:45,9.39978,0.0
17-10-2024 09:45 tot 10:00,7.4529,0.0
17-10-2024 10:00 tot 10:15,2.19024,0.0
17-10-2024 10:15 tot 10:30,1.76436,0.0
17-10-2024 10:30 tot 10:45,40.48902,0.0
17-10-2024 10:45 tot 11:00,52.99164,0.0
17-10-2024 11:00 tot 11:15,23.48424,0.0
17-10-2024 11:15 tot 11:30,31.08924,0.0
17-10-2024 11:30 tot 11:45,28.83816,0.0
17-10-2024 11:45 tot 12:00,48.0636,0.0
17-10-2024 12:00 tot 12:15,15.33168,0.0
17-10-2024 12:15 tot 12:30,7.3008,0.0
17-10-2024 12:30 tot 12:45,16.1226,0.0
17-10-2024 12:45 tot 13:00,20.74644,0.029585798816568
17-10-2024 13:00 tot 13:15,0.0,0.562130177514793
17-10-2024 13:15 tot 13:30,0.03042,0.562130177514793
17-10-2024 13:30 tot 13:45,20.16846,0.0
17-10-2024 13:45 tot 14:00,17.27856,0.0
17-10-2024 14:00 tot 14:15,4.50216,0.0
17-10-2024 14:15 tot 14:30,3.1941,0.029585798816568
17-10-2024 14:30 tot 14:45,39.2418,0.0
17-10-2024 14:45 tot 15:00,51.83568,0.0
17-10-2024 15:00 tot 15:15,25.52238,0.0
17-10-2024 15:15 tot 15:30,1.55142,0.0
17-10-2024 15:30 tot 15:45,0.27378,0.14792899408284
17-10-2024 15:45 tot 16:00,0.21294,0.14792899408284
17-10-2024 16:00 tot 16:15,0.12168,0.591715976331361
17-10-2024 16:15 tot 16:30,0.03042,0.946745562130177
17-10-2024 16:30 tot 16:45,0.03042,0.798816568047337
17-10-2024 16:45 tot 17:00,0.06084,0.266272189349112
17-10-2024 17:00 tot 17:15,0.51714,0.029585798816568
17-10-2024 17:15 tot 17:30,1.00386,0.0
17-10-2024 17:30 tot 17:45,23.24088,0.0
17-10-2024 17:45 tot 18:00,25.5528,0.0
17-10-2024 18:00 tot 18:15,2.03814,0.0
17-10-2024 18:15 tot 18:30,1.55142,0.0
17-10-2024 18:30 tot 18:45,1.58184,0.0
17-10-2024 18:45 tot 19:00,1.91646,0.0
17-10-2024 19:00 tot 19:15,4.13712,0.0
17-10-2024 19:15 tot 19:30,30.81546,0.0
17-10-2024 19:30 tot 19:45,2.67696,0.0
17-10-2024 19:45 tot 20:00,1.55142,0.0
17-10-2024 20:00 tot 20:15,9.00432,0.0
17-10-2024 20:15 tot 20:30,13.17186,0.0
17-10-2024 20:30 tot 20:45,7.84836,0.0
17-10-2024 20:45 tot 21:00,1.61226,0.0
17-10-2024 21:00 tot 21:15,1.76436,0.0
17-10-2024 21:15 tot 21:30,1.09512,0.0
17-10-2024 21:30 tot 21:45,1.64268,0.0
17-10-2024 21:45 tot 22:00,1.18638,0.0
17-10-2024 22:00 tot 22:15,1.09512,0.0
17-10-2024 22:15 tot 22:30,1.3689,0.0
17-10-2024 22:30 tot 22:45,1.2168,0.0
17-10-2024 22:45 tot 23:00,1.0647,0.0
17-10-2024 23:00 tot 23:15,1.33848,0.0
17-10-2024 23:15 tot 23:30,1.09512,0.0
17-10-2024 23:30 tot 23:45,1.03428,0.0
17-10-2024 23:45 tot 00:00,0.97344,0.0
18-10-2024 00:00 tot 00:15,1.12554,0.0
18-10-2024 00:15 tot 00:30,1.0647,0.0
18-10-2024 00:30 tot 00:45,1.00386,0.0
18-10-2024 00:45 tot 01:00,1.27764,0.0
18-10-2024 01:00 tot 01:15,1.03428,0.0
18-10-2024 01:15 tot 01:30,1.0647,0.0
18-10-2024 01:30 tot 01:45,0.94302,0.0
18-10-2024 01:45 tot 02:00,1.12554,0.0
18-10-2024 02:00 tot 02:15,0.94302,0.0
18-10-2024 02:15 tot 02:30,1.09512,0.0
18-10-2024 02:30 tot 02:45,1.00386,0.0
18-10-2024 02:45 tot 03:00,0.9126,0.0
18-10-2024 03:00 tot 03:15,0.88218,0.0
18-10-2024 03:15 tot 03:30,0.97344,0.0
18-10-2024 03:30 tot 03:45,1.2168,0.0
18-10-2024 03:45 tot 04:00,2.06856,0.0
18-10-2024 04:00 tot 04:15,2.2815,0.0
18-10-2024 04:15 tot 04:30,6.72282,0.0
18-10-2024 04:30 tot 04:45,10.28196,0.0
18-10-2024 04:45 tot 05:00,9.8865,0.0
18-10-2024 05:00 tot 05:15,5.44518,0.0
18-10-2024 05:15 tot 05:30,1.0647,0.0
18-10-2024 05:30 tot 05:45,1.18638,0.0
18-10-2024 05:45 tot 06:00,1.12554,0.0
18-10-2024 06:00 tot 06:15,0.94302,0.0
18-10-2024 06:15 tot 06:30,0.94302,0.0
18-10-2024 06:30 tot 06:45,1.09512,0.0
18-10-2024 06:45 tot 07:00,1.18638,0.0
18-10-2024 07:00 tot 07:15,1.12554,0.0
18-10-2024 07:15 tot 07:30,1.521,0.0
18-10-2024 07:30 tot 07:45,1.27764,0.0
18-10-2024 07:45 tot 08:00,1.27764,0.0
18-10-2024 08:00 tot 08:15,1.33848,0.0
18-10-2024 08:15 tot 08:30,1.12554,0.0
18-10-2024 08:30 tot 08:45,1.85562,0.0
18-10-2024 08:45 tot 09:00,3.1941,0.0
18-10-2024 09:00 tot 09:15,27.31716,0.0
18-10-2024 09:15 tot 09:30,20.3814,0.0
18-10-2024 09:30 tot 09:45,0.57798,0.0
18-10-2024 09:45 tot 10:00,8.54802,0.0
18-10-2024 10:00 tot 10:15,6.5403,0.0
18-10-2024 10:15 tot 10:30,0.21294,0.0591715976331361
18-10-2024 10:30 tot 10:45,0.1521,0.0887573964497041
18-10-2024 10:45 tot 11:00,24.336,0.029585798816568
18-10-2024 11:00 tot 11:15,29.99412,0.0
18-10-2024 11:15 tot 11:30,13.44564,0.0
18-10-2024 11:30 tot 11:45,16.79184,0.0
18-10-2024 11:45 tot 12:00,10.37322,0.0
18-10-2024 12:00 tot 12:15,4.28922,0.029585798816568
18-10-2024 12:15 tot 12:30,13.47606,0.0
18-10-2024 12:30 tot 12:45,5.20182,0.0
18-10-2024 12:45 tot 13:00,0.1521,0.355029585798817
18-10-2024 13:00 tot 13:15,0.63882,0.414201183431953
18-10-2024 13:15 tot 13:30,19.25586,0.0
18-10-2024 13:30 tot 13:45,30.51126,0.0
18-10-2024 13:45 tot 14:00,28.7469,0.0
18-10-2024 14:00 tot 14:15,20.6856,0.0
18-10-2024 14:15 tot 14:30,0.3042,0.177514792899408
18-10-2024 14:30 tot 14:45,8.79138,0.029585798816568
18-10-2024 14:45 tot 15:00,6.9966,0.0591715976331361
18-10-2024 15:00 tot 15:15,1.27764,0.029585798816568
18-10-2024 15:15 tot 15:30,0.66924,0.0
18-10-2024 15:30 tot 15:45,0.82134,0.0
18-10-2024 15:45 tot 16:00,0.69966,0.0591715976331361
18-10-2024 16:00 tot 16:15,0.73008,0.0
18-10-2024 16:15 tot 16:30,0.97344,0.0
18-10-2024 16:30 tot 16:45,0.48672,0.029585798816568
18-10-2024 16:45 tot 17:00,0.06084,0.14792899408284
18-10-2024 17:00 tot 17:15,0.63882,0.029585798816568
18-10-2024 17:15 tot 17:30,0.57798,0.0
18-10-2024 17:30 tot 17:45,1.18638,0.0
18-10-2024 17:45 tot 18:00,0.7605,0.0
18-10-2024 18:00 tot 18:15,1.15596,0.0
18-10-2024 18:15 tot 18:30,2.4336,0.0
18-10-2024 18:30 tot 18:45,1.88604,0.0
18-10-2024 18:45 tot 19:00,1.30806,0.0
18-10-2024 19:00 tot 19:15,1.24722,0.0
18-10-2024 19:15 tot 19:30,1.70352,0.0
18-10-2024 19:30 tot 19:45,1.85562,0.0
18-10-2024 19:45 tot 20:00,1.39932,0.0
18-10-2024 20:00 tot 20:15,1.64268,0.0
18-10-2024 20:15 tot 20:30,2.34234,0.0
18-10-2024 20:30 tot 20:45,1.9773,0.0
18-10-2024 20:45 tot 21:00,2.1294,0.0
18-10-2024 21:00 tot 21:15,4.31964,0.0
18-10-2024 21:15 tot 21:30,4.95846,0.0
18-10-2024 21:30 tot 21:45,3.61998,0.0
18-10-2024 21:45 tot 22:00,1.61226,0.0
18-10-2024 22:00 tot 22:15,4.13712,0.0
18-10-2024 22:15 tot 22:30,2.22066,0.0
18-10-2024 22:30 tot 22:45,1.2168,0.0
18-10-2024 22:45 tot 23:00,1.15596,0.0
18-10-2024 23:00 tot 23:15,1.09512,0.0
18-10-2024 23:15 tot 23:30,1.2168,0.0
18-10-2024 23:30 tot 23:45,1.03428,0.0
18-10-2024 23:45 tot 00:00,1.09512,0.0
19-10-2024 00:00 tot 00:15,0.97344,0.0
19-10-2024 00:15 tot 00:30,1.15596,0.0
19-10-2024 00:30 tot 00:45,1.27764,0.0
19-10-2024 00:45 tot 01:00,0.94302,0.0
19-10-2024 01:00 tot 01:15,1.09512,0.0
19-10-2024 01:15 tot 01:30,1.27764,0.0
19-10-2024 01:30 tot 01:45,0.97344,0.0
19-10-2024 01:45 tot 02:00,10.58616,0.0
19-10-2024 02:00 tot 02:15,5.0193,0.0
19-10-2024 02:15 tot 02:30,1.94688,0.0
19-10-2024 02:30 tot 02:45,1.73394,0.0
19-10-2024 02:45 tot 03:00,4.01544,0.0
19-10-2024 03:00 tot 03:15,1.12554,0.0
19-10-2024 03:15 tot 03:30,1.03428,0.0
19-10-2024 03:30 tot 03:45,1.00386,0.0
19-10-2024 03:45 tot 04:00,0.94302,0.0
19-10-2024 04:00 tot 04:15,1.03428,0.0
19-10-2024 04:15 tot 04:30,1.0647,0.0
19-10-2024 04:30 tot 04:45,0.88218,0.0
19-10-2024 04:45 tot 05:00,0.9126,0.0
19-10-2024 05:00 tot 05:15,1.0647,0.0
19-10-2024 05:15 tot 05:30,0.9126,0.0
19-10-2024 05:30 tot 05:45,1.03428,0.0
19-10-2024 05:45 tot 06:00,1.12554,0.0
19-10-2024 06:00 tot 06:15,1.64268,0.0
19-10-2024 06:15 tot 06:30,0.9126,0.0
19-10-2024 06:30 tot 06:45,1.03428,0.0
19-10-2024 06:45 tot 07:00,1.00386,0.0
19-10-2024 07:00 tot 07:15,0.94302,0.0
19-10-2024 07:15 tot 07:30,1.18638,0.0
19-10-2024 07:30 tot 07:45,1.2168,0.0
19-10-2024 07:45 tot 08:00,1.09512,0.0
19-10-2024 08:00 tot 08:15,1.0647,0.0
19-10-2024 08:15 tot 08:30,1.30806,0.0
19-10-2024 08:30 tot 08:45,1.521,0.0
19-10-2024 08:45 tot 09:00,1.15596,0.0
19-10-2024 09:00 tot 09:15,1.0647,0.0
19-10-2024 09:15 tot 09:30,3.37662,0.0
19-10-2024 09:30 tot 09:45,20.6856,0.0
19-10-2024 09:45 tot 10:00,14.99706,0.0
19-10-2024 10:00 tot 10:15,1.85562,0.0
19-10-2024 10:15 tot 10:30,1.27764,0.0
19-10-2024 10:30 tot 10:45,7.87878,0.0
19-10-2024 10:45 tot 11:00,27.40842,0.0
19-10-2024 11:00 tot 11:15,24.36642,0.0
19-10-2024 11:15 tot 11:30,17.12646,0.0
19-10-2024 11:30 tot 11:45,12.71556,0.0
19-10-2024 11:45 tot 12:00,14.96664,0.0
19-10-2024 12:00 tot 12:15,34.6788,0.0
19-10-2024 12:15 tot 12:30,26.7696,0.0
19-10-2024 12:30 tot 12:45,8.12214,0.0
19-10-2024 12:45 tot 13:00,10.76868,0.0
19-10-2024 13:00 tot 13:15,16.36596,0.0
